country	name	name_normalized	caps	goals	most_recent_year_played	position	year_born	club	club_nationality	played_in_latest
Nigeria	Taiwo Awoniyi	taiwoawoniyi	4	1	2022	FW	1997	Nottingham Forest F.C.	ENG	FALSE
Nigeria	Henry Onyekuru	henryonyekuru	16	2	2021	FW	1997	Adana Demirspor	TUR	FALSE
Senegal	Seny Dieng	senydieng	4	0	2022	GK	1994	Queens Park Rangers F.C.	ENG	TRUE
Senegal	Édouard Mendy	edouardmendy	29	0	2022	GK	1992	Chelsea F.C.	ENG	TRUE
Senegal	Alfred Gomis	alfredgomis	13	0	2022	GK	1993	Stade Rennais F.C.	FRA	TRUE
Senegal	Formose Mendy	formosemendy	2	0	2022	DF	2001	Amiens SC	FRA	TRUE
Senegal	Kalidou Koulibaly	kalidoukoulibaly	68	1	2022	DF	1991	Chelsea F.C.	ENG	TRUE
Senegal	Pape Abou Cissé	papeaboucisse	16	1	2022	DF	1995	Olympiacos F.C.	GRE	TRUE
Senegal	Moussa N'Diaye	moussandiaye	0	0	2022	DF	2000	R.S.C. Anderlecht	BEL	TRUE
Senegal	Fodé Ballo-Touré	fodeballotoure	15	0	2022	DF	1997	A.C. Milan	ITA	TRUE
Senegal	Ismail Jakobs	ismailjakobs	6	0	2022	DF	1999	AS Monaco FC	FRA	TRUE
Senegal	Youssouf Sabaly	youssoufsabaly	28	0	2022	DF	1993	Real Betis	ESP	TRUE
Senegal	Abdou Diallo	abdoudiallo	22	2	2022	DF	1996	RB Leipzig	GER	TRUE
Senegal	Idrissa Gueye	idrissagueye	99	7	2022	MF	1989	Everton F.C.	ENG	TRUE
Senegal	Nampalys Mendy	nampalysmendy	23	0	2022	MF	1992	Leicester City F.C.	ENG	TRUE
Senegal	Cheikhou Kouyaté	cheikhoukouyate	84	4	2022	MF	1989	Nottingham Forest F.C.	ENG	TRUE
Senegal	Pathé Ciss	patheciss	4	0	2022	MF	1994	Rayo Vallecano	ESP	TRUE
Senegal	Krépin Diatta	krepindiatta	29	2	2022	MF	1999	AS Monaco FC	FRA	TRUE
Senegal	Pape Matar Sarr	papematarsarr	12	0	2022	MF	2002	Tottenham Hotspur F.C.	ENG	TRUE
Senegal	Moustapha Name	moustaphaname	6	0	2022	MF	1995	Pafos FC	CYP	TRUE
Senegal	Mamadou Loum	mamadouloum	3	0	2022	MF	1996	Reading F.C.	ENG	TRUE
Senegal	Pape Gueye	papegueye	15	0	2022	MF	1999	Olympique de Marseille	FRA	TRUE
Senegal	Nicolas Jackson	nicolasjackson	2	0	2022	FW	2001	Villarreal CF	ESP	TRUE
Senegal	Boulaye Dia	boulayedia	23	4	2022	FW	1996	U.S. Salernitana 1919	ITA	TRUE
Senegal	Iliman Ndiaye	ilimanndiaye	5	0	2022	FW	2000	Sheffield United F.C.	ENG	TRUE
Senegal	Ismaïla Sarr	ismailasarr	52	11	2022	FW	1998	Watford F.C.	ENG	TRUE
Senegal	Famara Diédhiou	famaradiedhiou	27	11	2022	FW	1992	Alanyaspor	TUR	TRUE
Senegal	Bamba Dieng	bambadieng	17	2	2022	FW	2000	Olympique de Marseille	FRA	TRUE
Senegal	Alioune Badara Faty	aliounebadarafaty	0	0	2022	GK	1999	Casa Sports	SEN	FALSE
Senegal	Bingourou Kamara	bingouroukamara	2	0	2022	GK	1996	Montpellier HSC	FRA	FALSE
Senegal	Mory Diaw	morydiaw	0	0	2022	GK	1993	Clermont Foot	FRA	FALSE
Senegal	Abdoulaye Seck	abdoulayeseck	5	0	2022	DF	1992	Maccabi Haifa F.C.	ISR	FALSE
Senegal	Bouna Sarr	bounasarr	13	0	2022	DF	1992	FC Bayern Munich	GER	FALSE
Senegal	Saliou Ciss	saliouciss	37	0	2022	DF	1989	Free agent		FALSE
Senegal	Moussa Niakhaté	moussaniakhate	0	0	2022	DF	1996	Nottingham Forest F.C.	ENG	FALSE
Senegal	Noah Fadiga	noahfadiga	0	0	2022	DF	1999	Stade Brestois 29	FRA	FALSE
Senegal	Alpha Diounkou	alphadiounkou	0	0	2022	DF	2001	FC Barcelona Atlétic	ESP	FALSE
Senegal	Ibrahima Mbaye	ibrahimambaye	8	0	2021	DF	1994	CFR Cluj	ROM	FALSE
Senegal	Boubakary Soumaré	boubakarysoumare	0	0	2022	MF	1999	Leicester City F.C.	ENG	FALSE
Senegal	Joseph Lopy	josephlopy	7	0	2021	MF	1992	FC Sochaux-Montbéliard	FRA	FALSE
Senegal	Sadio Mané	sadiomane	93	34	2022	FW	1992	FC Bayern Munich	GER	FALSE
Senegal	Habib Diallo	habibdiallo	14	2	2022	FW	1995	RC Strasbourg Alsace	FRA	FALSE
Senegal	Keita Baldé	keitabalde	40	6	2022	FW	1995	FC Spartak Moscow	RUS	FALSE
Senegal	Mame Thiam	mamethiam	4	0	2022	FW	1992	Kayserispor	TUR	FALSE
Senegal	Demba Seck	dembaseck	1	0	2022	FW	2001	Torino F.C.	ITA	FALSE
South Africa	Melusi Buthelezi	melusibuthelezi	1	0	2022	GK	1998	TS Galaxy F.C.	RSA	TRUE
South Africa	Veli Mothwa	velimothwa	2	0	2022	GK	1991	AmaZulu F.C.	RSA	TRUE
South Africa	Ronwen Williams	ronwenwilliams	28	0	2022	GK	1992	Mamelodi Sundowns F.C.	RSA	TRUE
